Seed,Ratio Test,K,Accuracy
72,0.1,3,0.75
72,0.1,5,0.8125
72,0.1,7,0.75
72,0.2,3,0.71875
72,0.2,5,0.75
72,0.2,7,0.6875
72,0.3,3,0.7083333333333334
72,0.3,5,0.6875
72,0.3,7,0.6041666666666666
73,0.1,3,0.75
73,0.1,5,0.6875
73,0.1,7,0.6875
73,0.2,3,0.75
73,0.2,5,0.71875
73,0.2,7,0.71875
73,0.3,3,0.6458333333333334
73,0.3,5,0.6458333333333334
73,0.3,7,0.6458333333333334
74,0.1,3,0.5625
74,0.1,5,0.6875
74,0.1,7,0.75
74,0.2,3,0.71875
74,0.2,5,0.75
74,0.2,7,0.78125
74,0.3,3,0.7083333333333334
74,0.3,5,0.75
74,0.3,7,0.7083333333333334
75,0.1,3,0.75
75,0.1,5,0.8125
75,0.1,7,0.8125
75,0.2,3,0.75
75,0.2,5,0.75
75,0.2,7,0.78125
75,0.3,3,0.7708333333333334
75,0.3,5,0.75
75,0.3,7,0.6875
76,0.1,3,0.6875
76,0.1,5,0.8125
76,0.1,7,0.625
76,0.2,3,0.75
76,0.2,5,0.78125
76,0.2,7,0.625
76,0.3,3,0.75
76,0.3,5,0.7916666666666666
76,0.3,7,0.7291666666666666
77,0.1,3,0.875
77,0.1,5,0.875
77,0.1,7,0.8125
77,0.2,3,0.78125
77,0.2,5,0.78125
77,0.2,7,0.6875
77,0.3,3,0.7083333333333334
77,0.3,5,0.6875
77,0.3,7,0.6458333333333334
78,0.1,3,0.75
78,0.1,5,0.6875
78,0.1,7,0.6875
78,0.2,3,0.65625
78,0.2,5,0.5625
78,0.2,7,0.59375
78,0.3,3,0.6875
78,0.3,5,0.6666666666666666
78,0.3,7,0.6458333333333334
79,0.1,3,0.6875
79,0.1,5,0.8125
79,0.1,7,0.8125
79,0.2,3,0.78125
79,0.2,5,0.71875
79,0.2,7,0.78125
79,0.3,3,0.7916666666666666
79,0.3,5,0.75
79,0.3,7,0.7083333333333334
80,0.1,3,0.75
80,0.1,5,0.8125
80,0.1,7,0.8125
80,0.2,3,0.84375
80,0.2,5,0.90625
80,0.2,7,0.875
80,0.3,3,0.8333333333333334
80,0.3,5,0.7916666666666666
80,0.3,7,0.75
81,0.1,3,0.875
81,0.1,5,0.875
81,0.1,7,0.75
81,0.2,3,0.78125
81,0.2,5,0.71875
81,0.2,7,0.65625
81,0.3,3,0.7916666666666666
81,0.3,5,0.75
81,0.3,7,0.7291666666666666
82,0.1,3,0.6875
82,0.1,5,0.6875
82,0.1,7,0.625
82,0.2,3,0.6875
82,0.2,5,0.75
82,0.2,7,0.65625
82,0.3,3,0.7083333333333334
82,0.3,5,0.75
82,0.3,7,0.75
83,0.1,3,0.625
83,0.1,5,0.75
83,0.1,7,0.75
83,0.2,3,0.75
83,0.2,5,0.75
83,0.2,7,0.75
83,0.3,3,0.7291666666666666
83,0.3,5,0.6875
83,0.3,7,0.6458333333333334
84,0.1,3,0.75
84,0.1,5,0.6875
84,0.1,7,0.6875
84,0.2,3,0.71875
84,0.2,5,0.71875
84,0.2,7,0.71875
84,0.3,3,0.7708333333333334
84,0.3,5,0.75
84,0.3,7,0.75
85,0.1,3,0.8125
85,0.1,5,0.8125
85,0.1,7,0.875
85,0.2,3,0.78125
85,0.2,5,0.65625
85,0.2,7,0.65625
85,0.3,3,0.7916666666666666
85,0.3,5,0.75
85,0.3,7,0.6666666666666666
86,0.1,3,0.8125
86,0.1,5,0.8125
86,0.1,7,0.75
86,0.2,3,0.8125
86,0.2,5,0.78125
86,0.2,7,0.8125
86,0.3,3,0.75
86,0.3,5,0.7708333333333334
86,0.3,7,0.7708333333333334
87,0.1,3,0.75
87,0.1,5,0.75
87,0.1,7,0.75
87,0.2,3,0.6875
87,0.2,5,0.75
87,0.2,7,0.71875
87,0.3,3,0.7291666666666666
87,0.3,5,0.7291666666666666
87,0.3,7,0.6875
88,0.1,3,0.875
88,0.1,5,0.9375
88,0.1,7,0.9375
88,0.2,3,0.78125
88,0.2,5,0.78125
88,0.2,7,0.78125
88,0.3,3,0.6458333333333334
88,0.3,5,0.7083333333333334
88,0.3,7,0.6666666666666666
89,0.1,3,0.625
89,0.1,5,0.8125
89,0.1,7,0.6875
89,0.2,3,0.65625
89,0.2,5,0.5625
89,0.2,7,0.5625
89,0.3,3,0.5416666666666666
89,0.3,5,0.4791666666666667
89,0.3,7,0.3958333333333333
90,0.1,3,0.5625
90,0.1,5,0.5
90,0.1,7,0.4375
90,0.2,3,0.65625
90,0.2,5,0.71875
90,0.2,7,0.59375
90,0.3,3,0.6666666666666666
90,0.3,5,0.7083333333333334
90,0.3,7,0.6875
91,0.1,3,0.8125
91,0.1,5,0.8125
91,0.1,7,0.8125
91,0.2,3,0.71875
91,0.2,5,0.65625
91,0.2,7,0.65625
91,0.3,3,0.6458333333333334
91,0.3,5,0.625
91,0.3,7,0.6666666666666666
92,0.1,3,0.5
92,0.1,5,0.6875
92,0.1,7,0.625
92,0.2,3,0.6875
92,0.2,5,0.625
92,0.2,7,0.625
92,0.3,3,0.6041666666666666
92,0.3,5,0.7083333333333334
92,0.3,7,0.6666666666666666
93,0.1,3,0.6875
93,0.1,5,0.75
93,0.1,7,0.75
93,0.2,3,0.8125
93,0.2,5,0.78125
93,0.2,7,0.6875
93,0.3,3,0.7916666666666666
93,0.3,5,0.6458333333333334
93,0.3,7,0.7083333333333334
94,0.1,3,0.625
94,0.1,5,0.6875
94,0.1,7,0.75
94,0.2,3,0.71875
94,0.2,5,0.71875
94,0.2,7,0.78125
94,0.3,3,0.7083333333333334
94,0.3,5,0.7083333333333334
94,0.3,7,0.7916666666666666
95,0.1,3,0.75
95,0.1,5,0.8125
95,0.1,7,0.8125
95,0.2,3,0.75
95,0.2,5,0.84375
95,0.2,7,0.75
95,0.3,3,0.7291666666666666
95,0.3,5,0.75
95,0.3,7,0.7291666666666666
96,0.1,3,0.6875
96,0.1,5,0.6875
96,0.1,7,0.6875
96,0.2,3,0.78125
96,0.2,5,0.78125
96,0.2,7,0.78125
96,0.3,3,0.75
96,0.3,5,0.75
96,0.3,7,0.7291666666666666
97,0.1,3,0.8125
97,0.1,5,0.9375
97,0.1,7,0.75
97,0.2,3,0.78125
97,0.2,5,0.8125
97,0.2,7,0.75
97,0.3,3,0.6666666666666666
97,0.3,5,0.6458333333333334
97,0.3,7,0.5625
98,0.1,3,0.6875
98,0.1,5,0.875
98,0.1,7,0.8125
98,0.2,3,0.8125
98,0.2,5,0.84375
98,0.2,7,0.78125
98,0.3,3,0.7083333333333334
98,0.3,5,0.75
98,0.3,7,0.6666666666666666
99,0.1,3,0.6875
99,0.1,5,0.6875
99,0.1,7,0.625
99,0.2,3,0.8125
99,0.2,5,0.75
99,0.2,7,0.71875
99,0.3,3,0.6875
99,0.3,5,0.6666666666666666
99,0.3,7,0.6666666666666666
